id,name,shelf_life,available,last_available,serving_unit,serving_size,protein,carbs,fat,fiber,energy,iron_mg,magnesium_mg,calcium_mg,potassium_mg,sodium_mg,vitamin_c_mg
220,prawn,180,f,2025-08-17 12:15:17.71347,g,100,24.24,0.20,0.28,0.00,99.00,0.51,29.00,70.00,259.00,111.00,0.00
223,Protein chapati,7,t,2026-09-06 12:05:16.64845,nos,1,5.00,18.00,2.50,2.00,120.00,1.00,25.00,15.00,150.00,150.00,0.00
207,Protein Noodles,365,t,2026-09-06 12:05:18.830024,g,100,9.40,25.40,1.10,1.80,153.00,2.00,25.00,30.00,100.00,20.00,0.00
138,protein powder,730,t,2026-09-06 12:05:20.147857,cup,1,20.00,1.00,1.00,0.00,100.00,5.00,50.00,433.00,600.00,333.00,0.00
139,pulses,1095,f,2025-07-07 12:44:02.098559,g,100,9.02,20.13,0.38,7.90,116.00,3.32,36.00,19.00,369.00,2.00,1.50
140,quinoa,1095,t,2026-09-06 12:05:25.214434,g,100,4.40,21.30,1.92,2.80,120.00,1.49,64.00,17.00,172.00,7.00,0.00
141,radishes,14,f,2025-07-07 12:44:02.098561,g,100,0.68,3.40,0.10,1.60,16.00,0.34,10.00,25.00,233.00,39.00,14.80
142,ragi flour,180,f,2025-07-07 12:44:02.098562,g,100,7.52,72.30,1.14,11.00,328.26,3.90,195.00,364.00,408.00,11.00,0.00
143,raisins,365,f,2025-07-07 12:44:02.098563,g,100,3.07,79.18,0.46,3.70,299.00,1.88,20.00,50.00,749.00,11.00,2.30
144,raspberry,5,f,2025-07-07 12:44:02.098564,g,100,1.20,11.94,0.65,6.50,52.00,0.69,20.00,25.00,151.00,1.00,26.20
203,rava,365,t,2026-09-06 12:07:42.427839,g,100,10.40,74.80,0.80,3.90,348.00,1.23,47.00,17.00,115.00,1.00,0.00
145,red capsicum,7,f,2026-09-06 12:05:31.963524,g,100,0.99,6.32,0.30,2.10,31.00,0.43,12.00,7.00,211.00,4.00,127.70
147,red-chilli sauce,365,f,2025-07-07 12:44:02.098567,g,100,1.65,13.59,0.27,1.00,67.29,0.50,15.00,15.00,100.00,2000.00,3.00
146,red onion,30,f,2025-07-07 12:44:02.098566,g,100,1.10,9.40,0.10,1.70,40.00,0.21,10.00,23.00,146.00,4.00,7.40
